epoch,auc,accuracy,f1_score,loss,precision,recall,val_auc,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
42,0.994725525,0.97036761,0.970457911,0.0875756,0.970457911,0.970457911,0.993468821,0.970673025,0.9727723,0.0889237,0.9727723,0.9727723
43,0.995235205,0.970955908,0.970827162,0.084744617,0.970827162,0.970827162,0.991146684,0.984134614,0.985148549,0.087818593,0.985148489,0.985148489
44,0.994884968,0.969485283,0.9693501,0.088543408,0.9693501,0.9693501,0.993891478,0.972115397,0.9727723,0.095616348,0.9727723,0.9727723
45,0.995282054,0.973308802,0.973412097,0.082231112,0.973412097,0.973412097,0.993891478,0.985576928,0.985148549,0.083295338,0.985148489,0.985148489
46,0.994309962,0.970588207,0.970457911,0.08884079,0.970457911,0.970457911,0.993615746,0.978365362,0.977722764,0.097595222,0.977722764,0.977722764
47,0.995685518,0.970735252,0.970827162,0.081037454,0.970827162,0.970827162,0.991783917,0.969711542,0.970297039,0.090755783,0.970297039,0.970297039
48,0.995568335,0.97389704,0.973781407,0.080032632,0.973781407,0.973781407,0.991918504,0.979326904,0.980198026,0.090335853,0.980198026,0.980198026
49,0.993702352,0.975735307,0.97562778,0.083385654,0.97562778,0.97562778,0.992246389,0.972115397,0.9727723,0.096259832,0.9727723,0.9727723
50,0.995820224,0.97294116,0.973042846,0.077648878,0.973042846,0.973042846,0.992758036,0.975961566,0.975247502,0.096886694,0.975247502,0.975247502
51,0.995469928,0.970588207,0.970457911,0.083755642,0.970457911,0.970457911,0.992445588,0.987980783,0.987623751,0.080337144,0.987623751,0.987623751
52,0.995166183,0.974632382,0.974519968,0.080667958,0.974519968,0.974519968,0.994124293,0.978365362,0.977722764,0.079710782,0.977722764,0.977722764
53,0.995978236,0.973529398,0.973412097,0.077212378,0.973412097,0.973412097,0.992439449,0.983173072,0.982673287,0.081337355,0.982673287,0.982673287
54,0.994214058,0.972058833,0.971935034,0.086677611,0.971935034,0.971935034,0.994449079,0.975961566,0.975247502,0.090400204,0.975247502,0.975247502
55,0.995524704,0.974779367,0.974889219,0.075897366,0.974889219,0.974889219,0.994412184,0.978365362,0.977722764,0.083583519,0.977722764,0.977722764
56,0.995217741,0.97455883,0.974889219,0.077820823,0.974889219,0.974889219,0.991894186,0.969230771,0.9727723,0.086867906,0.9727723,0.9727723
57,0.996327102,0.974779367,0.974889219,0.073875003,0.974889219,0.974889219,0.992846906,0.971153855,0.970297039,0.096846178,0.970297039,0.970297039
58,0.994398057,0.97389704,0.973781407,0.084061794,0.973781407,0.973781407,0.994124353,0.980769217,0.980198026,0.09494064,0.980198026,0.980198026
59,0.995409727,0.971838176,0.971935034,0.081984572,0.971935034,0.971935034,0.992831647,0.976923048,0.977722764,0.095439143,0.977722764,0.977722764
60,0.995313346,0.973161757,0.973042846,0.079570889,0.973042846,0.973042846,0.993664742,0.972115397,0.9727723,0.084076315,0.9727723,0.9727723
61,0.995470941,0.97389704,0.973781407,0.078511089,0.973781407,0.973781407,0.993995607,0.980769217,0.980198026,0.088090166,0.980198026,0.980198026
62,0.995551169,0.976249993,0.976366341,0.076184615,0.976366341,0.976366341,0.993609667,0.985576928,0.985148549,0.09124615,0.985148489,0.985148489
63,0.995927989,0.977205873,0.977104902,0.076040678,0.977104902,0.977104902,0.995331347,0.979326904,0.980198026,0.070883453,0.980198026,0.980198026
64,0.996260703,0.973529398,0.973412097,0.07702668,0.973412097,0.973412097,0.993922174,0.984134614,0.985148549,0.07936991,0.985148489,0.985148489
65,0.99597615,0.973308802,0.973412097,0.077846818,0.973412097,0.973412097,0.991612375,0.980769217,0.980198026,0.092021875,0.980198026,0.980198026
66,0.995736778,0.97294116,0.973042846,0.078357987,0.973042846,0.973042846,0.992181957,0.978365362,0.977722764,0.088474669,0.977722764,0.977722764
67,0.995168567,0.970955908,0.970827162,0.080687188,0.970827162,0.970827162,0.994439781,0.979326904,0.980198026,0.07866016,0.980198026,0.980198026
68,0.9951092,0.972720623,0.973042846,0.082879417,0.973042846,0.973042846,0.993266582,0.978365362,0.977722764,0.090620011,0.977722764,0.977722764
69,0.994888246,0.974779367,0.974889219,0.081058905,0.974889219,0.974889219,0.992666185,0.980769217,0.980198026,0.097725272,0.980198026,0.980198026
70,0.995243788,0.972794116,0.972673535,0.081156172,0.972673535,0.972673535,0.995178163,0.975961566,0.975247502,0.076500334,0.975247502,0.975247502
71,0.996199429,0.972499967,0.973042846,0.075195111,0.973042846,0.973042846,0.992666125,0.987980783,0.987623751,0.078323349,0.987623751,0.987623751
72,0.994534492,0.968308866,0.968611598,0.087283574,0.968611538,0.968611538,0.994326532,0.979326904,0.980198026,0.079115115,0.980198026,0.980198026
73,0.995058715,0.973308802,0.973412097,0.077952631,0.973412097,0.973412097,0.993174732,0.975961566,0.975247502,0.100675941,0.975247502,0.975247502
74,0.996055007,0.976838231,0.976735592,0.072102025,0.976735592,0.976735592,0.991679668,0.983173072,0.982673287,0.100611717,0.982673287,0.982673287
75,0.995182037,0.971470535,0.971565723,0.081861585,0.971565723,0.971565723,0.99319309,0.978365362,0.977722764,0.094251201,0.977722764,0.977722764
76,0.996134877,0.973308802,0.973412097,0.076548822,0.973412097,0.973412097,0.991238534,0.975961566,0.975247502,0.091809191,0.975247502,0.975247502
77,0.995545864,0.973161757,0.973042846,0.07795313,0.973042846,0.973042846,0.993628085,0.975961566,0.975247502,0.09768296,0.975247502,0.975247502
78,0.995685637,0.97455883,0.974889219,0.077683039,0.974889219,0.974889219,0.994884074,0.978365362,0.977722764,0.077398084,0.977722764,0.977722764
79,0.994689524,0.969264686,0.9693501,0.084902503,0.9693501,0.9693501,0.990270615,0.974519193,0.975247502,0.108608648,0.975247502,0.975247502
80,0.995721221,0.974779367,0.974889219,0.078710161,0.974889219,0.974889219,0.993438125,0.975961566,0.975247502,0.09097077,0.975247502,0.975247502
81,0.996315598,0.975367665,0.97525847,0.073443159,0.97525847,0.97525847,0.99243027,0.973557711,0.9727723,0.103066564,0.9727723,0.9727723
82,0.995720983,0.976102948,0.975997031,0.078170329,0.975997031,0.975997031,0.99232918,0.970673025,0.9727723,0.109047391,0.9727723,0.9727723
83,0.99484545,0.974264681,0.974150658,0.080691598,0.974150658,0.974150658,0.994675696,0.980769217,0.980198026,0.079538606,0.980198026,0.980198026
84,0.995519519,0.976102948,0.975997031,0.077145167,0.975997031,0.975997031,0.990503371,0.979326904,0.980198026,0.092302069,0.980198026,0.980198026
85,0.996481836,0.973529398,0.973412097,0.075595416,0.973412097,0.973412097,0.994338691,0.973557711,0.9727723,0.085334457,0.9727723,0.9727723
86,0.993410766,0.974264681,0.974150658,0.085092634,0.974150658,0.974150658,0.994669557,0.980769217,0.980198026,0.083770514,0.980198026,0.980198026
87,0.996124804,0.973529398,0.973412097,0.07607659,0.973412097,0.973412097,0.993983328,0.977884591,0.980198026,0.086012959,0.980198026,0.980198026
88,0.996306121,0.976102948,0.975997031,0.072925009,0.975997031,0.975997031,0.994602203,0.983173072,0.982673287,0.075467519,0.982673287,0.982673287
89,0.996356428,0.976838231,0.976735592,0.072142139,0.976735592,0.976735592,0.994712532,0.980769217,0.980198026,0.08799538,0.980198026,0.980198026
90,0.996487081,0.979411781,0.979320526,0.06861534,0.979320526,0.979320526,0.993879318,0.974519193,0.975247502,0.09173993,0.975247502,0.975247502
91,0.995709836,0.975661755,0.975997031,0.079984203,0.975997031,0.975997031,0.994914651,0.980769217,0.980198026,0.076938018,0.980198026,0.980198026
92,0.996368825,0.974632382,0.974519968,0.074662901,0.974519968,0.974519968,0.994274437,0.971153855,0.970297039,0.088186711,0.970297039,0.970297039
93,0.996792316,0.977205873,0.977104902,0.068569496,0.977104902,0.977104902,0.991330445,0.980769217,0.980198026,0.104831904,0.980198026,0.980198026
94,0.996649921,0.974044085,0.974150658,0.071014032,0.974150658,0.974150658,0.993995667,0.983173072,0.982673287,0.084019125,0.982673287,0.982673287
95,0.995477021,0.975882292,0.975997031,0.076232739,0.975997031,0.975997031,0.994142771,0.971153855,0.970297039,0.090817444,0.970297039,0.970297039
96,0.995410085,0.97294116,0.973042846,0.077965103,0.973042846,0.973042846,0.993327916,0.978365362,0.977722764,0.084251381,0.977722764,0.977722764
97,0.995724082,0.97389704,0.973781407,0.075860545,0.973781407,0.973781407,0.993033767,0.980769217,0.980198026,0.092330433,0.980198026,0.980198026
98,0.995509505,0.974411726,0.974519968,0.079334341,0.974519968,0.974519968,0.993021488,0.973557711,0.9727723,0.099491179,0.9727723,0.9727723
99,0.997063816,0.977720559,0.977843404,0.065653108,0.977843404,0.977843404,0.991593897,0.976923048,0.977722764,0.09534432,0.977722764,0.977722764
